央视,#genre#
CCTV1,http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8
CCTV1,http://39.134.65.162/PLTV/88888888/224/3221225804/index.m3u8
CCTV2,http://ivi.bupt.edu.cn/hls/cctv2hd.m3u8
CCTV3,http://ivi.bupt.edu.cn/hls/cctv3hd.m3u8
CCTV4,http://ivi.bupt.edu.cn/hls/cctv4hd.m3u8
CCTV5,http://ivi.bupt.edu.cn/hls/cctv5hd.m3u8
CCTV6,http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8
CCTV7,http://ivi.bupt.edu.cn/hls/cctv7hd.m3u8
CCTV8,http://ivi.bupt.edu.cn/hls/cctv8hd.m3u8

卫视,#genre#
湖南卫视,http://ivi.bupt.edu.cn/hls/hunanhd.m3u8
浙江卫视,http://ivi.bupt.edu.cn/hls/zjhd.m3u8
江苏卫视,http://ivi.bupt.edu.cn/hls/jshd.m3u8
东方卫视,http://ivi.bupt.edu.cn/hls/dfhd.m3u8
北京卫视,http://ivi.bupt.edu.cn/hls/btv1hd.m3u8
广东卫视,http://ivi.bupt.edu.cn/hls/gdhd.m3u8
